version:v1.0																
Name [displayName] Required	User name [userPrincipalName] Required	Initial password [passwordProfile] Required	Block sign in (Yes/No) [accountEnabled] Required	First name [givenName]	Last name [surname]	Job title [jobTitle]	Department [department]	Usage location [usageLocation]	Street address [streetAddress]	State or province [state]	Country or region [country]	Office [physicalDeliveryOfficeName]	City [city]	ZIP or postal code [postalCode]	Office phone [telephoneNumber]	Mobile phone [mobile]
230	user230@shahzal.org	R)760530706785os	 No	230	230											
231	user231@shahzal.org	T$556862045694az	 No	231	231											
232	user232@shahzal.org	C!001151518475aw	 No	232	232											
233	user233@shahzal.org	C^953495369581uf	 No	233	233											
234	user234@shahzal.org	P!559085983412aq	 No	234	234											
235	user235@shahzal.org	H*973298124550ub	 No	235	235											
236	user236@shahzal.org	W^192525724221aw	 No	236	236											
237	user237@shahzal.org	S$935292651212ox	 No	237	237											
238	user238@shahzal.org	H@856365970957ar	 No	238	238											
239	user239@shahzal.org	D&386464398879uv	 No	239	239											
240	user240@shahzal.org	V)442433565863oc	 No	240	240											
241	user241@shahzal.org	Y*222582792577uf	 No	241	241											
242	user242@shahzal.org	V.707683988860ac	 No	242	242											
243	user243@shahzal.org	P/135183462083ob	 No	243	243											
244	user244@shahzal.org	H(896450003578of	 No	244	244											
245	user245@shahzal.org	D!819987029732ac	 No	245	245											
246	user246@shahzal.org	X*642151767894oc	 No	246	246											
247	user247@shahzal.org	S$525944283700ag	 No	247	247											
248	user248@shahzal.org	R/911121319638ot	 No	248	248											
249	user249@shahzal.org	P&099819716679uq	 No	249	249											
250	user250@shahzal.org	Z#181208357355oj	 No	250	250											
251	user251@shahzal.org	R&534647338220av	 No	251	251											
252	user252@shahzal.org	D/047873960094aj	 No	252	252											
253	user253@shahzal.org	S#251388437409us	 No	253	253											
254	user254@shahzal.org	N&083753464140oh	 No	254	254											
255	user255@shahzal.org	Y.008636559194ap	 No	255	255											
256	user256@shahzal.org	R@501245107770uc	 No	256	256											
257	user257@shahzal.org	F^651338939409af	 No	257	257											
258	user258@shahzal.org	K%980510593679ok	 No	258	258											
